trade_date,avg_pnl,total_volume_usd,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit_x,gross_loss_x,profit_factor_x,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level,total_pnl,pnl_std,num_trades,win_rate,total_volume,avg_trade_size,trade_size_std,total_abs_pnl,gross_profit_y,gross_loss_y,profit_factor_y
2025-01-08,26.4,4838.93,70,Greed,Greed,,0,,132.017096,0.0,132017.09600000002,0,4.0,80.0,Greed,Greed (56-75),132.02,39.61,5,0.6,4838.93,967.79,673.46,132.02,132.017096,0.0,132017.09600000002
2025-01-09,0.0,221.89,69,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75),0.0,,1,0.0,221.89,221.89,,0.0,0.0,0.0,0.0
2025-01-10,0.03,4687.4,50,Neutral,Neutral,,0,,0.11855,0.0,118.55,0,1.0,50.0,Neutral,Neutral (46-55),0.12,0.06,4,0.25,4687.4,1171.85,1657.64,0.12,0.11855,0.0,118.55
2025-01-11,56.56,71517.61,69,Greed,Greed,,0,,113.111128,0.0,113111.128,0,0.0,0.0,Greed,Greed (56-75),113.11,37.79,2,1.0,71517.61,35758.8,29357.77,113.11,113.111128,0.0,113111.128
2025-01-12,7.16,2500.01,62,Greed,Greed,,0,,7.161037,0.0,7161.037,0,0.0,0.0,Greed,Greed (56-75),7.16,,1,1.0,2500.01,2500.01,,7.16,7.161037,0.0,7161.037
2025-01-13,297.0,11198.23,61,Greed,Greed,,0,,297.00462,0.0,297004.62,0,0.0,0.0,Greed,Greed (56-75),297.0,,1,1.0,11198.23,11198.23,,297.0,297.00462,0.0,297004.62
2025-01-14,8.45,869.65,63,Greed,Greed,,0,,16.895968,0.0,16895.968,0,2.0,100.0,Greed,Greed (56-75),16.9,11.95,2,0.5,869.65,434.82,445.24,16.9,16.895968,0.0,16895.968
2025-01-16,115.63,100776.07,75,Extreme Greed,Greed,,0,,578.5469400000001,0.3725,1553.146147651007,0,1.5,60.0,Greed,Greed (56-75),578.17,250.69,5,0.4,100776.07,20155.21,44634.92,578.92,578.5469400000001,0.3725,1553.146147651007
2025-01-17,19.26,344.83,75,Extreme Greed,Greed,,0,,19.26106,0.0,19261.06,0,1.0,100.0,Greed,Greed (56-75),19.26,,1,1.0,344.83,344.83,,19.26,19.26106,0.0,19261.06
2025-01-18,4.69,4004.9,77,Extreme Greed,Extreme Greed,,0,,18.767569,0.0,18767.569000000003,0,1.0,50.0,Greed,Extreme Greed (76-100),18.77,6.69,4,0.75,4004.9,1001.22,1530.41,18.77,18.767569,0.0,18767.569000000003
