trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category
2025-03-11,-202.47,13,-15.57,0.15,25522.18,1963.24,232.08,24,Extreme Fear,Extreme Fear
2025-03-12,119.15,11,10.83,0.45,11066.09,1006.01,119.15,34,Fear,Fear
2025-03-13,97.97,7,14.0,0.57,18127.28,2589.61,97.97,45,Neutral,Fear
2025-03-14,53.76,16,3.36,0.94,13392.0,837.0,53.76,27,Fear,Fear
2025-03-15,2860.13,2,1430.06,1.0,3618.84,1809.42,2860.13,46,Neutral,Neutral
2025-03-16,-37.05,4,-9.26,0.25,17990.95,4497.74,230.24,30,Fear,Fear
2025-03-17,1.05,7,0.15,0.14,20858.17,2979.74,1.05,32,Fear,Fear
2025-03-18,106.5,28,3.8,0.07,75735.14,2704.83,106.5,34,Fear,Fear
2025-03-19,327.81,25,13.11,0.2,145310.77,5812.43,645.71,32,Fear,Fear
2025-03-20,363.35,9,40.37,1.0,10923.5,1213.72,363.35,49,Neutral,Neutral
2025-03-21,5.46,5,1.09,0.4,1652.33,330.47,5.46,31,Fear,Fear
2025-03-22,293.65,5,58.73,0.8,14951.17,2990.23,293.65,32,Fear,Fear
2025-03-24,429.17,4,107.29,0.5,25801.18,6450.3,429.17,45,Neutral,Fear
2025-03-25,333.82,2,166.91,0.5,209250.15,104625.08,333.82,46,Neutral,Neutral
2025-03-26,-72.05,9,-8.01,0.11,19704.46,2189.38,89.92,47,Neutral,Neutral
2025-03-27,32.37,17,1.9,0.18,21364.09,1256.71,32.37,40,Fear,Fear
2025-03-28,76.73,7,10.96,0.86,8068.5,1152.64,76.73,44,Fear,Fear
2025-03-29,894.34,9,99.37,0.56,3213.23,357.03,894.34,26,Fear,Fear
2025-03-30,0.0,3,0.0,0.0,4875.36,1625.12,0.0,32,Fear,Fear
2025-03-31,61.59,2,30.79,0.5,16545.69,8272.84,61.59,34,Fear,Fear
2025-04-01,0.0,3,0.0,0.0,65740.71,21913.57,0.0,34,Fear,Fear
2025-04-02,69.28,4,17.32,1.0,1202.28,300.57,69.28,44,Fear,Fear
