trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2024-11-04,0.0,1,0.0,0.0,5186.86,5186.86,0.0,70,Greed,Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Greed (56-75)
2024-11-09,-0.0,1,-0.0,0.0,71.59,71.59,0.0,75,Extreme Greed,Greed,,0,,0.0,0.00141,0.0,0,1.0,100.0,Greed,Greed (56-75)
2024-11-11,0.0,5,0.0,0.0,41652.37,8330.47,0.0,76,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-12,0.0,2,0.0,0.0,2221.66,1110.83,0.0,80,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-14,0.0,1,0.0,0.0,12502.45,12502.45,0.0,88,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Extreme Greed (76-100)
2024-11-17,0.0,2,0.0,0.0,45936.29,22968.14,0.0,90,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,1.0,50.0,Greed,Extreme Greed (76-100)
2024-11-18,0.0,3,0.0,0.0,10602.68,3534.23,0.0,83,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-20,-0.41,7,-0.06,0.0,31873.42,4553.35,0.41,83,Extreme Greed,Extreme Greed,,0,,0.0,0.41383,0.0,0,1.3333333333333333,57.14285714285714,Greed,Extreme Greed (76-100)
2024-11-21,14.56,1,14.56,1.0,500.25,500.25,14.56,82,Extreme Greed,Extreme Greed,,0,,14.563856,0.0,14563.856,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-11-22,2.85,10,0.28,0.2,3177.28,317.73,5.96,94,Extreme Greed,Extreme Greed,,0,,4.4038070000000005,1.5545879999999999,2.832780775356558,0,1.5,60.0,Greed,Extreme Greed (76-100)
